Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-03-27,The Life Aquatic with Steve Zissou,2004,https://letterboxd.com/cindyshi/film/the-life-aquatic-with-steve-zissou/,3.5,,,2017-09-22
2018-02-02,Lady Bird,2017,https://letterboxd.com/cindyshi/film/lady-bird/,5,,"cineplex, fifth ave",2017-11-16
2018-02-02,The Florida Project,2017,https://letterboxd.com/cindyshi/film/the-florida-project/,4.5,,"cineplex, international village",2017-11-20
2018-02-02,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/cindyshi/film/three-billboards-outside-ebbing-missouri/,5,,"cineplex, scotiabank",2017-11-22
2018-02-02,Coco,2017,https://letterboxd.com/cindyshi/film/coco-2017/,3.5,,"cineplex, international village",2017-11-24
2018-02-02,Lady Bird,2017,https://letterboxd.com/cindyshi/film/lady-bird/1/,5,Yes,"cineplex, fifth ave",2017-12-02
2018-05-10,Good Time,2017,https://letterboxd.com/cindyshi/film/good-time/,3.5,,,2017-12-03
2018-05-10,The Big Sick,2017,https://letterboxd.com/cindyshi/film/the-big-sick/,4,,,2017-12-03
2018-03-22,Dunkirk,2017,https://letterboxd.com/cindyshi/film/dunkirk-2017/,4,Yes,"science world, imax",2017-12-05
2018-02-02,The Disaster Artist,2017,https://letterboxd.com/cindyshi/film/the-disaster-artist/,4.5,,"cineplex, scotiabank",2017-12-07
2018-03-22,BPM (Beats per Minute),2017,https://letterboxd.com/cindyshi/film/bpm-beats-per-minute/,3.5,,"viff, vancity",2017-12-08
2018-02-02,Faces Places,2017,https://letterboxd.com/cindyshi/film/faces-places/,5,,"viff, vancity",2017-12-09
2018-03-22,Baby Driver,2017,https://letterboxd.com/cindyshi/film/baby-driver/,3.5,,,2017-12-10
2018-03-22,A Ghost Story,2017,https://letterboxd.com/cindyshi/film/a-ghost-story-2017/,4.5,,,2017-12-11
2018-02-02,The Square,2017,https://letterboxd.com/cindyshi/film/the-square-2017/,4,,rio,2017-12-13
2019-04-04,Brooklyn,2015,https://letterboxd.com/cindyshi/film/brooklyn/,4.5,,,2017-12-13
2018-02-02,Call Me by Your Name,2017,https://letterboxd.com/cindyshi/film/call-me-by-your-name/,5,,"cineplex, fifth ave",2017-12-15
2018-02-02,The Shape of Water,2017,https://letterboxd.com/cindyshi/film/the-shape-of-water/,4,,"cineplex, international village",2017-12-16
2018-02-02,Darkest Hour,2017,https://letterboxd.com/cindyshi/film/darkest-hour/,3,,"cineplex, fifth ave",2017-12-16
2018-02-02,Call Me by Your Name,2017,https://letterboxd.com/cindyshi/film/call-me-by-your-name/1/,5,Yes,"cineplex, fifth ave",2017-12-16
2018-02-02,Star Wars: The Last Jedi,2017,https://letterboxd.com/cindyshi/film/star-wars-the-last-jedi/,4,,"3d, scotiabank, cineplex",2017-12-17
2018-03-22,Battle of the Sexes,2017,https://letterboxd.com/cindyshi/film/battle-of-the-sexes-2017/,3,,,2017-12-19
2018-02-02,The Greatest Showman,2017,https://letterboxd.com/cindyshi/film/the-greatest-showman/,2,,"cineplex, metrotown",2017-12-20
2018-02-02,The Breadwinner,2017,https://letterboxd.com/cindyshi/film/the-breadwinner/,4.5,,"cineplex, international village",2017-12-20
2018-03-22,Loving Vincent,2017,https://letterboxd.com/cindyshi/film/loving-vincent/,4,,,2017-12-22
2018-02-02,"I, Tonya",2017,https://letterboxd.com/cindyshi/film/i-tonya/,3.5,,"cineplex, international village",2018-01-05
2018-02-02,All the Money in the World,2017,https://letterboxd.com/cindyshi/film/all-the-money-in-the-world/,4,,"cineplex, international village",2018-01-06
2018-02-02,Molly's Game,2017,https://letterboxd.com/cindyshi/film/mollys-game/,3.5,,"cineplex, international village",2018-01-06
2018-02-02,The Post,2017,https://letterboxd.com/cindyshi/film/the-post-2017/,4,,"cineplex, scotiabank",2018-01-11
2018-04-05,Blue,2017,https://letterboxd.com/cindyshi/film/blue-2017-1/,3.5,,"viff, vancity",2018-01-12
2018-02-02,Phantom Thread,2017,https://letterboxd.com/cindyshi/film/phantom-thread/,5,,"cineplex, fifth ave",2018-01-13
2018-03-22,Paddington,2014,https://letterboxd.com/cindyshi/film/paddington/,4,,"youtube, rent",2018-01-28
2018-03-22,Punch-Drunk Love,2002,https://letterboxd.com/cindyshi/film/punch-drunk-love/,5,,,2018-01-28
2018-05-24,In the Fade,2017,https://letterboxd.com/cindyshi/film/in-the-fade/,3,,"cineplex, international village",2018-01-28
2018-03-22,Paddington 2,2017,https://letterboxd.com/cindyshi/film/paddington-2/,4.5,,"cineplex, international village",2018-01-29
2018-02-03,Phantom Thread,2017,https://letterboxd.com/cindyshi/film/phantom-thread/1/,5,Yes,"cineplex, fifth ave",2018-02-02
2018-03-16,Mudbound,2017,https://letterboxd.com/cindyshi/film/mudbound/,3,,,2018-02-03
2018-03-16,Abacus: Small Enough to Jail,2016,https://letterboxd.com/cindyshi/film/abacus-small-enough-to-jail/,3.5,,,2018-02-09
2018-03-16,Icarus,2017,https://letterboxd.com/cindyshi/film/icarus-2017/,4,,netflix,2018-02-10
2018-03-16,Last Men in Aleppo,2017,https://letterboxd.com/cindyshi/film/last-men-in-aleppo/,3.5,,netflix,2018-02-11
2018-03-16,The Insult,2017,https://letterboxd.com/cindyshi/film/the-insult/,4,,"viff, vancity",2018-02-23
2018-03-16,Black Panther,2018,https://letterboxd.com/cindyshi/film/black-panther-2018/,4.5,,"3d, cineplex, marine drive",2018-02-27
2018-03-22,The Big Short,2015,https://letterboxd.com/cindyshi/film/the-big-short/,3.5,,"rent, youtube",2018-03-01
2018-03-22,A Fantastic Woman,2017,https://letterboxd.com/cindyshi/film/a-fantastic-woman/1/,4,,"cineplex, international village",2018-03-02
2018-03-16,20th Century Women,2016,https://letterboxd.com/cindyshi/film/20th-century-women/,3.5,,"rent, youtube",2018-03-08
2018-03-16,Fantastic Mr. Fox,2009,https://letterboxd.com/cindyshi/film/fantastic-mr-fox/,5,,"cineplex, international village",2018-03-10
2018-03-16,"Love, Simon",2018,https://letterboxd.com/cindyshi/film/love-simon/,3.5,,"cineplex, international village",2018-03-10
2018-03-21,Frances Ha,2012,https://letterboxd.com/cindyshi/film/frances-ha/,5,Yes,,2018-03-11
2018-03-22,Mistress America,2015,https://letterboxd.com/cindyshi/film/mistress-america/,4,,,2018-03-11
